(a) Predicted Results:

"(1, 0)"
"(236, 2)"
"(237, 9)"
"(238, 8)"
"(239, 1)"
"(240, 2)"
"(241, 0)"
"(242, 9)"
"(243, 9)"
"(244, 1)"
"(245, 1)"
"(246, 9)"
"(247, 0)"
"(248, 5)"
"(249, 1)"
"(250, 8)"
"(251, 1)"
"(252, 1)"
"(253, 1)"
"(254, 9)"
"(255, 0)"
"(256, 6)"
"(257, 9)"
"(258, 1)"
"(259, 1)"
"(260, 9)"
"(261, 1)"
"(262, 1)"
"(263, 1)"
"(264, 4)"
"(265, 9)"
"(266, 9)"
"(267, 2)"
"(268, 7)"
"(269, 9)"
"(270, 5)"
"(271, 0)"
"(272, 9)"
"(273, 1)"
"(274, 1)"
"(275, 8)"
"(276, 2)"
"(277, 8)"
"(278, 9)"
"(279, 9)"
"(280, 0)"
"(281, 1)"
"(282, 4)"
"(283, 8)"
"(284, 1)"
"(285, 5)"
"(286, 0)"
"(287, 1)"
"(288, 5)"
"(289, 1)"
"(290, 1)"
"(291, 9)"
"(292, 8)"
"(293, 8)"
"(294, 1)"
"(295, 9)"
"(296, 1)"
"(297, 0)"
"(298, 8)"
"(299, 5)"
"(300, 1)"
"(301, 5)"
"(302, 9)"
"(303, 5)"
"(304, 1)"
"(305, 1)"
"(306, 1)"
"(307, 7)"
"(308, 8)"
"(309, 1)"
"(310, 9)"
"(311, 9)"
"(312, 1)"
"(313, 9)"
"(314, 1)"
"(315, 5)"
"(316, 5)"
"(317, 5)"
"(318, 9)"
"(319, 7)"
"(320, 4)"
"(321, 1)"
"(322, 9)"
"(323, 6)"
"(324, 9)"
"(325, 9)"
"(326, 9)"
"(327, 0)"
"(328, 1)"
"(329, 9)"
"(330, 5)"
"(331, 4)"
"(332, 5)"
"(333, 4)"
"(334, 1)"
"(335, 9)"
"(336, 7)"
"(337, 1)"
"(338, 9)"
"(339, 9)"
"(340, 5)"
"(341, 8)"
"(342, 5)"
"(343, 8)"
"(344, 0)"
"(345, 5)"
"(346, 9)"
"(347, 9)"
"(348, 8)"
"(349, 9)"
"(350, 5)"
"(351, 1)"
"(352, 1)"
"(353, 8)"
"(354, 1)"
"(355, 9)"
"(356, 9)"
"(357, 1)"
"(358, 1)"
"(359, 1)"
"(360, 1)"
"(361, 9)"
"(362, 2)"
"(363, 9)"
"(364, 9)"
"(365, 8)"
"(366, 0)"
"(367, 1)"
"(368, 1)"
"(369, 1)"
"(370, 9)"
"(371, 5)"
"(372, 1)"
"(373, 5)"
"(374, 1)"
"(375, 9)"
"(376, 1)"
"(377, 9)"
"(378, 8)"
"(379, 9)"
"(380, 1)"
"(381, 5)"
"(382, 1)"
"(383, 1)"
"(384, 1)"
"(385, 9)"
"(386, 0)"
"(387, 4)"
"(388, 5)"
"(389, 8)"
"(390, 9)"
"(391, 9)"
"(392, 0)"
"(393, 1)"
"(394, 5)"
"(395, 1)"
"(396, 2)"
"(397, 5)"
"(398, 9)"
"(399, 1)"
"(400, 1)"
"(401, 9)"
"(402, 9)"
"(403, 8)"
"(404, 8)"
"(405, 0)"
"(406, 8)"
"(407, 9)"
"(408, 8)"
"(409, 5)"
"(410, 5)"
"(411, 6)"
"(412, 1)"
"(413, 1)"
"(414, 1)"
"(415, 1)"
"(416, 9)"
"(417, 1)"
"(418, 4)"
"(419, 8)"
"(420, 9)"
"(421, 9)"
"(422, 1)"
"(423, 9)"
"(424, 8)"
"(425, 0)"
"(426, 4)"
"(427, 5)"
"(428, 0)"
"(429, 5)"
"(430, 9)"
"(431, 0)"
"(432, 1)"
"(433, 9)"
"(434, 9)"
"(435, 1)"
"(436, 1)"
"(437, 9)"
"(438, 9)"
"(439, 5)"
"(440, 1)"
"(441, 0)"
"(442, 0)"
"(443, 1)"
"(444, 0)"
"(445, 8)"
"(446, 8)"
"(447, 8)"
"(448, 6)"
"(449, 9)"
"(450, 9)"
"(451, 9)"
"(452, 1)"
"(453, 9)"
"(454, 8)"
"(455, 0)"
"(456, 0)"
"(457, 0)"
"(458, 1)"
"(459, 9)"
"(460, 1)"
"(461, 8)"
"(462, 8)"
"(463, 5)"
"(464, 8)"
"(465, 9)"
"(466, 1)"
"(467, 8)"
"(468, 7)"
"(469, 8)"
"(470, 9)"
"(471, 8)"
"(472, 5)"
"(473, 9)"
"(474, 1)"
"(475, 5)"
"(476, 5)"
"(477, 0)"
"(478, 8)"
"(479, 9)"
"(480, 6)"
"(481, 1)"
"(482, 1)"
"(483, 8)"
"(484, 9)"
"(485, 9)"
"(486, 9)"
"(487, 9)"
"(488, 9)"
"(489, 0)"
"(490, 1)"
"(491, 5)"
"(492, 5)"
"(493, 1)"
"(494, 8)"
"(495, 1)"
"(496, 1)"
"(497, 0)"
"(498, 0)"
"(499, 1)"
"(500, 9)"
"(501, 6)"
"(502, 5)"
"(503, 0)"
"(504, 9)"
"(505, 0)"
"(506, 2)"
"(507, 1)"
"(508, 5)"
"(509, 8)"
"(510, 4)"
"(511, 1)"
"(512, 1)"
"(513, 9)"
"(514, 9)"
"(515, 0)"
"(516, 1)"
"(517, 4)"
"(518, 6)"

(b) Confusion Matrix:

,0,1,2,3,4,5,6,7,8,9
0,40,2,0,0,8,0,0,1,0,0
1,3,118,0,14,3,0,0,3,1,1
2,2,0,4,0,0,2,0,0,3,1
3,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,5,1,0,0,0,5
5,1,0,2,0,7,34,1,0,5,11
6,5,0,0,0,0,0,4,0,0,4
7,0,1,0,0,0,0,0,11,0,0
8,2,2,6,0,2,1,6,0,38,4
9,2,1,3,1,25,17,4,0,3,98

(c) & (d) Performance Metrics:

,precision,recall,f1-score,support
0,0.7843137254901961,0.7272727272727273,0.7547169811320754,55.0
1,0.8251748251748252,0.944,0.8805970149253731,125.0
2,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.0
3,0.0,0.0,0.0,15.0
4,0.4166666666666667,0.1,0.16129032258064516,50.0
5,0.5573770491803278,0.6181818181818182,0.5862068965517241,55.0
6,0.3076923076923077,0.26666666666666666,0.28571428571428575,15.0
7,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
8,0.6229508196721312,0.76,0.6846846846846847,50.0
9,0.6363636363636364,0.7903225806451613,0.7050359712230215,124.0
accuracy,0.6782273603082851,0.6782273603082851,0.6782273603082851,0.6782273603082851
macro avg,0.5400539030240091,0.5206443792766373,0.516935726792292,519.0
weighted avg,0.6381410319752358,0.6782273603082851,0.6445106587390804,519.0
